vid,phase4_psnr,phase5_ema_psnr,phase5_noema_psnr,delta_ema,delta_noema,phase4_l1,phase5_ema_l1,phase5_noema_l1
0,20.822650449029332,15.274274891820447,15.985852570369326,-5.548375557208885,-4.836797878660006,0.06490895164937809,0.1448709736096448,0.1337816422355586
1,21.203338623046875,14.24835569517953,14.755222354616437,-6.954982927867345,-6.448116268430438,0.06786259769329003,0.1547317590032305,0.14335029146500997
2,20.797994077205658,15.311824142932892,16.173548340797424,-5.486169934272766,-4.624445736408234,0.06192780227866024,0.14551121275871992,0.1306432627607137
3,20.938388166756464,13.834753727090769,14.692230027297448,-7.103634439665695,-6.246158139459016,0.06483451842234053,0.17096626501658868,0.1524294995028397
